Age,Gender,Weight,Height,BMI,Goal,Calories Burned,Workout Time (min),Workout Recommendation
16,Female,108.1,151.4,47.2,Lose Weight,25.19,214,High-Knees
17,Female,65.4,152.7,28.1,Lose Weight,12.29,100,Box Jumps
22,Female,102.2,159.1,40.4,Lose Weight,21.78,182,Jump Rope
35,Female,90.5,159.2,35.7,Lose Weight,16.37,132,Speed Skaters
30,Female,56.6,156.0,23.2,Build Muscles,21.68,197,Chest Dips
42,Other,62.0,156.6,25.3,Lose Weight,14.97,128,Mountain Climbers
56,Male,95.0,171.1,32.5,Lose Weight,18.66,115,Jump Rope
17,Other,60.6,161.5,23.2,Maintain Weight,8.62,65,Yoga
45,Female,62.4,162.2,23.7,Build Muscles,18.08,159,Barbell Rows
23,Other,72.6,164.8,26.7,Lose Weight,6.54,40,Burpees
30,Male,101.1,170.1,34.9,Lose Weight,4.07,4,Burpees
56,Female,60.3,151.5,26.3,Lose Weight,24.71,226,Jump Rope
44,Male,71.5,178.7,22.4,Build Muscles,32.37,224,Barbell Rows
52,Other,66.8,157.9,26.8,Lose Weight,20.54,182,Box Jumps
58,Male,93.8,164.3,34.7,Lose Weight,9.68,48,Cycling
50,Male,68.8,171.3,23.4,Build Muscles,29.74,205,Chest Dips
47,Other,70.4,166.4,25.4,Lose Weight,13.96,115,Running
23,Male,52.6,185.3,15.3,Gain Weight,14.91,98,Dips
35,Other,48.3,168.8,17.0,Gain Weight,19.99,183,Deadlifts
32,Male,70.0,173.0,23.4,Maintain Weight,5.12,20,Walking
26,Male,72.0,174.8,23.6,Maintain Weight,12.39,74,Light Weight Training
40,Female,64.9,171.6,22.1,Maintain Weight,6.17,39,Light Weight Training
27,Female,66.2,157.8,26.6,Lose Weight,26.22,239,Swimming
21,Female,65.3,159.0,25.8,Lose Weight,23.19,209,Jumping Jacks
27,Male,68.0,172.8,22.8,Maintain Weight,16.25,104,Yoga
56,Other,88.8,159.6,34.9,Lose Weight,22.31,192,Speed Skaters
40,Female,53.6,171.3,18.3,Gain Weight,17.88,160,Hammer Curls
56,Other,118.7,171.0,40.6,Lose Weight,11.26,71,Running
37,Other,69.5,174.9,22.7,Maintain Weight,12.73,103,Elliptical
53,Other,59.6,158.3,23.8,Maintain Weight,11.19,91,Low-Impact Aerobics
50,Female,98.4,158.4,39.2,Lose Weight,17.64,142,Swimming
34,Other,66.8,159.3,26.3,Lose Weight,22.64,203,High-Knees
44,Other,62.3,152.6,26.7,Lose Weight,23.28,211,Sprints
59,Female,80.7,165.1,29.6,Lose Weight,24.12,213,Box Jumps
30,Female,64.7,165.6,23.6,Maintain Weight,9.06,68,Low-Impact Aerobics
31,Other,90.3,174.2,29.8,Lose Weight,17.06,139,Rowing
28,Male,79.6,175.6,25.8,Lose Weight,29.32,199,Mountain Climbers
44,Female,68.6,153.1,29.3,Lose Weight,11.2,88,Cycling
28,Male,95.7,162.6,36.2,Lose Weight,20.42,128,Speed Skaters
53,Other,62.5,165.5,22.8,Maintain Weight,11.49,93,Low-Impact Aerobics
22,Male,45.3,174.2,14.9,Gain Weight,5.32,28,Bench Press
33,Male,63.0,180.7,19.3,Maintain Weight,9.54,55,Walking
34,Female,96.3,174.3,31.7,Lose Weight,6.37,30,Box Jumps
57,Female,58.7,156.6,23.9,Maintain Weight,7.95,59,Core Workouts
29,Male,65.7,183.2,19.6,Build Muscles,20.57,137,Dumbbell Snatches
60,Male,58.4,182.7,17.5,Gain Weight,17.91,119,Lateral Raises
48,Female,82.4,166.6,29.7,Lose Weight,17.58,147,Jumping Jacks
20,Female,62.2,169.3,21.7,Maintain Weight,11.48,93,Low-Impact Aerobics
54,Male,69.7,180.3,21.4,Build Muscles,33.37,232,Shoulder Press
30,Male,62.2,162.0,23.7,Maintain Weight,6.58,33,Bodyweight Exercises
22,Other,70.0,164.1,26.0,Lose Weight,2.65,2,HIIT
41,Other,56.9,152.3,24.5,Maintain Weight,8.69,67,Planks
38,Other,91.2,167.1,32.6,Lose Weight,19.09,159,Burpees
44,Other,68.8,163.8,25.6,Lose Weight,5.81,34,Sprints
20,Male,57.3,186.3,16.5,Gain Weight,4.67,20,Dips
44,Female,60.7,153.5,25.8,Lose Weight,21.43,193,Rowing
40,Male,73.8,175.7,23.9,Maintain Weight,10.05,56,Rowing
46,Female,115.2,156.2,47.2,Lose Weight,19.63,156,Swimming
22,Female,71.6,166.8,25.7,Lose Weight,5.31,28,Cycling
60,Male,57.6,185.5,16.8,Gain Weight,32.82,231,Tricep Extensions
20,Male,90.9,171.2,31.0,Lose Weight,34.12,232,Stair Climbing
19,Other,89.3,172.5,30.0,Lose Weight,24.43,213,Box Jumps
35,Female,69.5,165.9,25.2,Lose Weight,18.93,165,Speed Skaters
43,Female,60.4,166.0,21.9,Build Muscles,15.71,136,Kettlebell Swings
60,Other,67.0,173.7,22.2,Build Muscles,19.75,174,Chest Dips
18,Other,114.4,163.9,42.6,Lose Weight,21.4,174,Jumping Jacks
39,Male,72.3,186.2,20.9,Build Muscles,28.93,198,Deadlifts
60,Other,70.9,150.2,31.4,Lose Weight,25.48,230,High-Knees
42,Male,62.7,181.2,19.1,Build Muscles,33.26,233,Kettlebell Swings
35,Other,73.0,160.5,28.3,Lose Weight,8.46,59,High-Knees
46,Female,58.4,155.7,24.1,Maintain Weight,11.64,96,Core Workouts
22,Female,93.6,168.9,32.8,Lose Weight,10.58,73,Burpees
48,Other,67.8,171.1,23.2,Build Muscles,22.87,205,Power Cleans
58,Male,72.4,161.1,27.9,Lose Weight,30.4,209,HIIT
29,Other,49.0,155.9,20.2,Maintain Weight,13.22,115,Pilates
25,Female,70.1,167.2,25.1,Lose Weight,25.95,235,Running
32,Other,58.6,154.6,24.5,Build Muscles,24.95,229,Deadlifts
19,Other,72.8,161.9,27.8,Lose Weight,14.65,121,Mountain Climbers
27,Male,101.2,189.3,28.2,Lose Weight,22.74,144,Speed Skaters
30,Female,57.4,165.6,20.9,Maintain Weight,8.61,66,Low-Impact Aerobics
19,Male,46.2,172.8,15.5,Gain Weight,3.35,13,Overhead Press
15,Male,80.8,156.8,32.9,Lose Weight,16.16,100,Mountain Climbers
17,Other,118.5,148.5,53.7,Lose Weight,21.65,175,Jump Rope
29,Female,61.7,154.6,25.8,Lose Weight,20.26,181,Jump Rope
35,Male,73.2,164.6,27.0,Lose Weight,26.83,182,Swimming
57,Female,59.8,153.4,25.4,Lose Weight,16.49,144,Burpees
38,Male,58.4,183.4,17.4,Gain Weight,4.18,16,Squats
42,Male,54.6,163.8,20.4,Build Muscles,20.71,141,Lunges
33,Male,63.0,175.0,20.6,Build Muscles,33.8,237,Deadlifts
53,Female,64.1,168.8,22.5,Build Muscles,17.64,154,Bench Press
46,Other,73.6,174.0,24.3,Maintain Weight,13.68,111,Walking
29,Female,112.0,161.9,42.7,Lose Weight,19.42,155,Burpees
41,Male,64.5,181.7,19.5,Maintain Weight,11.86,72,Balance Exercises
60,Male,70.7,174.2,23.3,Build Muscles,28.47,195,Push Press
21,Male,68.1,178.7,21.3,Maintain Weight,3.85,11,Light Weight Training
29,Female,66.9,162.4,25.4,Lose Weight,18.44,161,Swimming
29,Other,59.2,160.3,23.0,Maintain Weight,12.77,107,Rowing
29,Male,104.6,161.7,40.0,Lose Weight,14.59,82,Rowing
46,Male,52.7,188.8,14.8,Gain Weight,9.44,57,Push-ups
31,Female,69.4,157.8,27.9,Lose Weight,9.73,73,High-Knees
19,Other,72.4,154.0,30.5,Lose Weight,18.64,161,Jumping Jacks
23,Male,53.8,177.2,17.1,Gain Weight,32.42,229,Tricep Extensions
45,Female,91.0,165.0,33.4,Lose Weight,24.59,214,Speed Skaters
56,Male,118.9,172.5,40.0,Lose Weight,22.03,134,Running
43,Other,46.4,163.8,17.3,Gain Weight,3.82,22,Dumbbell Rows
22,Other,57.5,155.2,23.9,Maintain Weight,11.81,98,Swimming
29,Other,56.5,164.8,20.8,Build Muscles,21.58,196,Weighted Pull-ups
26,Male,63.0,183.9,18.6,Maintain Weight,4.2,15,Light Weight Training
46,Male,71.2,189.2,19.9,Maintain Weight,13.29,81,Cycling
41,Female,57.8,165.9,21.0,Maintain Weight,13.52,115,Hiking
56,Female,52.1,156.0,21.4,Maintain Weight,8.12,63,Bodyweight Exercises
53,Other,64.3,165.4,23.5,Maintain Weight,9.55,73,Walking
26,Male,59.8,166.2,21.6,Maintain Weight,13.43,85,Elliptical
50,Other,88.7,150.9,38.9,Lose Weight,4.41,13,Sprints
19,Male,78.4,174.3,25.8,Lose Weight,29.94,204,Jump Rope
35,Other,49.3,160.2,19.2,Maintain Weight,3.43,17,Rowing
54,Other,62.7,162.4,23.8,Build Muscles,23.09,209,Kettlebell Swings
24,Male,56.2,172.2,18.9,Maintain Weight,4.37,18,Rowing
18,Female,65.6,156.8,26.7,Lose Weight,8.6,63,HIIT
41,Other,59.5,151.2,26.0,Lose Weight,22.28,202,Speed Skaters
57,Female,99.0,171.9,33.5,Lose Weight,27.46,240,Jumping Jacks
21,Male,84.7,174.9,27.7,Lose Weight,24.16,159,Rowing
43,Other,69.1,174.7,22.6,Maintain Weight,3.62,12,Planks
34,Male,110.1,171.6,37.4,Lose Weight,6.12,17,Speed Skaters
41,Male,104.6,162.2,39.8,Lose Weight,23.26,147,Mountain Climbers
52,Female,62.5,161.9,23.8,Maintain Weight,14.09,119,Walking
54,Other,73.4,172.2,24.8,Build Muscles,21.77,192,Deadlifts
41,Other,92.2,165.8,33.5,Lose Weight,23.93,207,Stair Climbing
46,Male,72.9,164.7,26.9,Lose Weight,15.08,94,Speed Skaters
26,Other,71.8,159.4,28.3,Lose Weight,13.31,108,Running
42,Female,58.6,172.1,19.8,Build Muscles,20.35,183,Squats
22,Male,51.9,167.0,18.6,Maintain Weight,2.75,7,Walking
29,Male,66.6,161.9,25.4,Lose Weight,23.0,155,Speed Skaters
17,Male,61.5,165.4,22.5,Build Muscles,30.28,211,Kettlebell Swings
39,Female,71.0,165.0,26.1,Lose Weight,11.59,91,Jumping Jacks
42,Other,90.7,151.8,39.4,Lose Weight,23.17,200,HIIT
38,Other,69.6,160.1,27.2,Lose Weight,25.34,229,Jumping Jacks
44,Other,73.1,167.4,26.1,Lose Weight,26.36,238,Sprints
45,Other,63.1,156.0,25.9,Lose Weight,7.01,48,Running
38,Female,111.6,163.2,41.9,Lose Weight,8.41,45,Burpees
42,Male,59.6,160.7,23.1,Maintain Weight,13.02,82,Swimming
22,Other,98.3,164.0,36.6,Lose Weight,20.94,175,Sprints
42,Other,68.1,169.1,23.8,Maintain Weight,9.58,72,Stretching
17,Female,73.4,154.0,31.0,Lose Weight,12.47,99,Skipping
60,Male,110.0,181.6,33.3,Lose Weight,30.25,198,Cycling
60,Other,81.4,156.9,33.1,Lose Weight,12.75,99,Mountain Climbers
28,Female,60.9,155.6,25.1,Lose Weight,13.23,111,Cycling
28,Other,61.4,162.5,23.2,Build Muscles,16.75,146,Barbell Rows
24,Other,62.2,160.6,24.1,Build Muscles,22.58,204,Barbell Rows
20,Other,56.6,163.3,21.2,Build Muscles,15.48,135,Deadlifts
20,Other,61.1,163.3,22.9,Maintain Weight,2.14,0,Core Workouts
30,Other,69.3,153.2,29.5,Lose Weight,7.32,49,Mountain Climbers
20,Other,91.5,171.1,31.3,Lose Weight,12.1,89,High-Knees
38,Male,63.5,174.0,21.0,Build Muscles,23.29,158,Barbell Rows
35,Male,88.6,184.3,26.1,Lose Weight,30.3,204,Speed Skaters
43,Male,58.6,177.8,18.5,Build Muscles,22.58,154,Leg Press
21,Other,96.2,160.8,37.2,Lose Weight,5.27,19,Skipping
27,Male,86.2,166.6,31.1,Lose Weight,26.88,179,Running
51,Other,65.7,165.0,24.1,Build Muscles,15.3,130,Power Cleans
34,Female,66.0,169.7,22.9,Build Muscles,25.21,229,Lunges
36,Male,46.2,166.1,16.8,Gain Weight,24.02,168,Shrugs
16,Male,97.4,162.1,37.1,Lose Weight,9.14,43,Mountain Climbers
25,Other,89.3,170.1,30.9,Lose Weight,15.03,119,Burpees
50,Female,60.6,162.6,22.9,Build Muscles,23.02,209,Chest Dips
21,Female,93.9,170.7,32.2,Lose Weight,22.99,197,Rowing
30,Other,101.8,172.4,34.3,Lose Weight,10.76,72,Running
28,Male,82.3,177.0,26.3,Lose Weight,28.21,190,Jump Rope
15,Other,66.5,155.0,27.7,Lose Weight,25.53,232,Burpees
32,Male,75.9,183.8,22.5,Build Muscles,27.32,185,Kettlebell Swings
15,Male,113.5,164.1,42.2,Lose Weight,9.84,44,Jump Rope
56,Other,71.0,164.0,26.4,Lose Weight,21.49,190,Box Jumps
55,Female,49.8,169.8,17.3,Gain Weight,7.24,55,Deadlifts
40,Other,111.6,165.4,40.8,Lose Weight,26.61,227,Running
26,Female,65.6,153.5,27.9,Lose Weight,10.2,79,Cycling
45,Female,47.2,167.1,16.9,Gain Weight,24.55,229,Deadlifts
31,Other,58.3,154.5,24.4,Maintain Weight,12.14,101,Stretching
19,Other,57.8,164.8,21.3,Maintain Weight,11.92,99,Cycling
31,Female,89.0,168.0,31.5,Lose Weight,19.31,162,Burpees
36,Female,67.3,150.1,29.9,Lose Weight,10.06,77,Jump Rope
44,Female,105.5,160.6,40.9,Lose Weight,25.19,215,Stair Climbing
45,Female,81.6,173.8,27.0,Lose Weight,10.36,75,Stair Climbing
16,Female,63.8,148.6,28.9,Lose Weight,12.13,99,Box Jumps
27,Female,68.5,156.9,27.8,Lose Weight,10.9,85,Stair Climbing
25,Male,64.3,171.2,21.9,Build Muscles,25.05,171,Bench Press
38,Female,64.5,164.2,23.9,Maintain Weight,3.56,13,Light Weight Training
39,Other,86.8,154.5,36.4,Lose Weight,16.54,135,Mountain Climbers
30,Female,111.9,151.5,48.7,Lose Weight,9.22,53,Cycling
19,Male,87.8,171.9,29.7,Lose Weight,8.01,37,Stair Climbing
46,Other,93.7,150.5,41.4,Lose Weight,23.18,199,Mountain Climbers
32,Other,62.7,150.4,27.7,Lose Weight,12.2,100,Box Jumps
20,Female,73.1,164.1,27.2,Lose Weight,18.16,156,Cycling
29,Female,76.9,152.2,33.2,Lose Weight,3.29,6,Mountain Climbers
53,Female,116.6,158.0,46.7,Lose Weight,8.28,42,Cycling
34,Female,57.1,172.8,19.1,Build Muscles,16.9,149,Power Cleans
53,Female,70.7,158.4,28.2,Lose Weight,8.98,65,Running
58,Other,105.4,171.1,36.0,Lose Weight,11.79,81,Swimming
30,Female,73.9,153.1,31.5,Lose Weight,21.99,194,Jumping Jacks
27,Other,80.1,167.3,28.6,Lose Weight,22.8,200,Jumping Jacks
53,Other,63.4,153.2,27.0,Lose Weight,21.02,188,Burpees
22,Male,86.9,177.9,27.5,Lose Weight,10.64,57,Swimming
22,Male,60.2,187.0,17.2,Gain Weight,7.71,42,Deadlifts
47,Other,70.8,163.4,26.5,Lose Weight,10.98,85,Rowing
17,Male,69.8,159.6,27.4,Lose Weight,23.91,161,Stair Climbing
15,Male,70.6,167.0,25.3,Lose Weight,33.67,234,Skipping
21,Female,58.8,170.7,20.2,Build Muscles,14.26,122,Shoulder Press
16,Female,65.5,153.2,27.9,Lose Weight,22.29,200,High-Knees
57,Male,61.2,175.8,19.8,Build Muscles,24.54,168,Deadlifts
27,Male,72.5,168.0,25.7,Lose Weight,29.21,200,HIIT
32,Other,70.1,160.5,27.2,Lose Weight,23.25,208,High-Knees
26,Female,66.7,159.2,26.3,Lose Weight,10.13,78,Skipping
57,Other,101.5,156.9,41.2,Lose Weight,6.85,33,Box Jumps
51,Female,70.9,174.4,23.3,Maintain Weight,10.58,81,Pilates
58,Female,68.5,160.7,26.5,Lose Weight,8.7,63,Cycling
44,Male,58.6,185.3,17.1,Gain Weight,19.12,128,Tricep Extensions
45,Other,69.1,174.3,22.7,Maintain Weight,12.32,99,Light Weight Training
53,Male,56.6,184.5,16.6,Gain Weight,20.92,142,Deadlifts
47,Other,64.8,159.3,25.5,Lose Weight,13.77,115,Rowing
21,Female,67.8,153.5,28.8,Lose Weight,23.87,215,High-Knees
37,Male,60.8,161.5,23.3,Build Muscles,29.86,208,Squats
43,Male,97.7,166.8,35.1,Lose Weight,19.15,118,High-Knees
35,Female,60.8,169.4,21.2,Maintain Weight,3.33,12,Balance Exercises
55,Other,78.3,151.6,34.1,Lose Weight,16.54,138,Jump Rope
29,Male,105.2,164.5,38.8,Lose Weight,20.48,126,Jumping Jacks
36,Female,81.5,160.1,31.8,Lose Weight,10.65,78,Jumping Jacks
40,Male,57.2,187.1,16.3,Gain Weight,33.47,236,Overhead Press
26,Female,56.1,172.5,18.8,Maintain Weight,10.26,83,Cycling
55,Other,60.8,154.0,25.6,Lose Weight,4.43,23,Mountain Climbers
34,Female,57.1,161.9,21.8,Maintain Weight,7.2,52,Cycling
44,Female,108.1,174.5,35.5,Lose Weight,9.89,61,Jump Rope
50,Other,72.4,174.6,23.7,Maintain Weight,11.13,86,Balance Exercises
51,Female,67.9,162.9,25.6,Lose Weight,11.38,90,Stair Climbing
23,Other,59.2,159.0,23.4,Maintain Weight,12.97,109,Low-Impact Aerobics
34,Other,64.3,165.9,23.4,Maintain Weight,6.45,42,Elliptical
50,Other,115.1,161.2,44.3,Lose Weight,23.73,197,Skipping
26,Male,51.7,187.4,14.7,Gain Weight,12.88,83,Pull-ups
52,Female,61.6,156.8,25.0,Lose Weight,6.35,42,Cycling
44,Male,108.9,169.5,37.9,Lose Weight,29.14,190,Jump Rope
24,Male,66.8,169.2,23.3,Build Muscles,23.94,162,Barbell Rows
27,Other,58.4,157.8,23.5,Build Muscles,16.85,148,Cable Machine Exercises
23,Other,84.1,158.7,33.4,Lose Weight,26.34,234,Swimming
38,Male,68.1,183.6,20.2,Build Muscles,21.18,141,Squats
27,Other,110.6,173.1,36.9,Lose Weight,25.17,213,Speed Skaters
27,Male,67.7,183.5,20.1,Build Muscles,32.77,228,Power Cleans
28,Female,84.9,171.7,28.8,Lose Weight,10.57,76,High-Knees
59,Other,66.0,152.6,28.4,Lose Weight,4.51,22,Speed Skaters
19,Male,90.2,182.6,27.1,Lose Weight,16.76,102,Speed Skaters
22,Female,60.7,171.2,20.7,Build Muscles,21.82,197,Shoulder Press
48,Other,50.1,163.2,18.8,Build Muscles,17.45,157,Deadlifts
59,Other,53.6,155.8,22.1,Maintain Weight,3.58,17,Bodyweight Exercises
29,Male,68.6,178.6,21.5,Build Muscles,26.8,183,Chin-ups
60,Male,87.5,184.7,25.6,Lose Weight,5.46,18,Rowing
17,Male,61.7,153.6,26.2,Lose Weight,24.69,169,Skipping
34,Other,96.9,156.4,39.6,Lose Weight,7.19,38,Running
31,Male,66.7,164.3,24.7,Maintain Weight,17.27,112,Core Workouts
55,Female,63.7,164.5,23.5,Build Muscles,16.13,139,Push Press
30,Other,62.4,165.3,22.8,Maintain Weight,8.08,59,Rowing
33,Male,65.6,187.9,18.6,Build Muscles,32.29,225,Cable Machine Exercises
21,Other,97.8,166.6,35.2,Lose Weight,6.12,27,Skipping
22,Other,59.8,167.2,21.4,Maintain Weight,6.79,47,Hiking
46,Male,97.9,180.8,30.0,Lose Weight,5.43,15,Mountain Climbers
37,Other,59.3,156.8,24.1,Build Muscles,22.48,204,Chest Dips
17,Female,70.2,146.1,32.9,Lose Weight,8.76,63,Swimming
36,Male,68.7,172.4,23.1,Build Muscles,26.27,179,Chest Dips
17,Other,82.3,153.5,34.9,Lose Weight,20.18,173,Running
55,Male,86.7,186.3,25.0,Lose Weight,24.9,164,Cycling
25,Other,115.6,164.3,42.8,Lose Weight,5.95,19,Rowing
15,Male,103.6,157.0,42.0,Lose Weight,21.63,135,High-Knees
58,Female,79.7,156.1,32.7,Lose Weight,4.29,15,Jumping Jacks
27,Other,62.8,165.1,23.0,Maintain Weight,5.3,31,Balance Exercises
58,Male,95.7,189.4,26.7,Lose Weight,18.95,117,Stair Climbing
42,Male,54.6,183.1,16.3,Gain Weight,10.84,67,Dips
23,Male,72.4,182.3,21.8,Build Muscles,23.07,154,Leg Press
52,Male,62.3,185.0,18.2,Gain Weight,16.18,105,Hammer Curls
15,Male,60.2,159.7,23.6,Maintain Weight,5.31,24,Swimming
36,Other,56.9,150.1,25.3,Lose Weight,15.19,132,Swimming
51,Female,71.8,160.4,27.9,Lose Weight,17.61,151,Skipping
29,Other,69.5,153.9,29.3,Lose Weight,2.63,2,Rowing
51,Female,59.8,151.9,25.9,Lose Weight,24.19,221,Jumping Jacks
58,Female,103.0,158.5,41.0,Lose Weight,22.61,190,Jump Rope
28,Other,70.9,150.6,31.2,Lose Weight,13.88,114,Cycling
21,Male,58.1,170.3,20.0,Maintain Weight,15.5,101,Rowing
15,Female,61.6,164.1,22.9,Maintain Weight,13.75,116,Cycling
39,Female,50.4,158.3,20.1,Maintain Weight,11.26,95,Balance Exercises
38,Female,68.9,153.2,29.4,Lose Weight,9.51,71,Rowing
47,Female,86.6,160.6,33.6,Lose Weight,19.73,167,Stair Climbing
58,Other,117.0,173.6,38.8,Lose Weight,21.39,173,Burpees
50,Other,59.1,172.7,19.8,Maintain Weight,5.97,39,Light Weight Training
28,Female,75.0,168.7,26.4,Lose Weight,6.03,34,High-Knees
26,Female,113.2,156.8,46.0,Lose Weight,18.06,141,Skipping
31,Other,99.2,166.5,35.8,Lose Weight,24.37,209,Mountain Climbers
31,Other,68.4,173.8,22.6,Build Muscles,24.49,221,Lunges
17,Female,48.2,153.9,20.3,Maintain Weight,5.99,43,Core Workouts
31,Female,56.8,157.1,23.0,Build Muscles,17.39,154,Leg Press
42,Male,90.7,180.0,28.0,Lose Weight,29.57,198,Skipping
25,Female,56.7,168.0,20.1,Maintain Weight,3.78,18,Walking
30,Other,68.5,170.8,23.5,Maintain Weight,11.8,94,Bodyweight Exercises
57,Female,61.0,158.0,24.4,Build Muscles,21.23,191,Bench Press
17,Other,66.2,152.1,28.6,Lose Weight,14.52,122,Sprints
18,Male,59.3,172.4,19.9,Maintain Weight,11.41,70,Stretching
22,Male,111.7,185.0,32.6,Lose Weight,7.24,25,Jumping Jacks
60,Other,62.6,164.0,23.3,Maintain Weight,5.59,34,Stretching
55,Female,106.8,151.4,46.6,Lose Weight,5.24,15,Cycling
15,Other,67.7,152.7,29.0,Lose Weight,20.37,180,Jump Rope
50,Female,64.2,153.6,27.2,Lose Weight,22.55,203,Burpees
27,Female,72.3,156.3,29.6,Lose Weight,22.33,198,High-Knees
36,Other,50.5,152.8,21.6,Build Muscles,23.47,217,Weighted Pull-ups
33,Other,72.6,150.1,32.2,Lose Weight,23.24,207,Jumping Jacks
19,Female,87.6,156.8,35.6,Lose Weight,21.07,180,Cycling
24,Female,73.2,159.6,28.7,Lose Weight,5.86,33,Cycling
22,Other,66.8,164.6,24.7,Build Muscles,14.84,125,Squats
58,Female,79.4,167.9,28.2,Lose Weight,8.58,58,Jumping Jacks
51,Male,72.5,177.4,23.0,Build Muscles,27.74,189,Kettlebell Swings
41,Male,60.3,166.4,21.8,Build Muscles,20.78,140,Squats
36,Other,71.6,171.7,24.3,Maintain Weight,7.1,46,Low-Impact Aerobics
16,Male,83.2,151.1,36.4,Lose Weight,9.98,53,Box Jumps
52,Male,84.4,167.5,30.1,Lose Weight,33.75,231,HIIT
33,Other,98.8,155.1,41.1,Lose Weight,7.26,38,Skipping
41,Other,87.6,172.8,29.3,Lose Weight,20.46,174,HIIT
44,Male,73.1,162.3,27.7,Lose Weight,10.82,62,Burpees
35,Male,61.9,163.8,23.1,Maintain Weight,6.96,36,Swimming
50,Male,67.1,187.9,19.0,Build Muscles,29.68,205,Lunges
57,Female,94.1,167.4,33.6,Lose Weight,24.19,209,Stair Climbing
48,Other,88.1,163.5,33.0,Lose Weight,24.08,210,Cycling
51,Male,58.8,162.3,22.3,Maintain Weight,7.39,40,Rowing
21,Female,66.9,170.8,22.9,Build Muscles,14.94,126,Cable Machine Exercises
32,Other,45.8,163.1,17.2,Gain Weight,5.9,43,Hammer Curls
29,Other,62.1,174.5,20.4,Build Muscles,23.17,210,Squats
31,Male,65.3,176.2,21.0,Maintain Weight,13.09,81,Elliptical
41,Male,63.2,164.6,23.3,Build Muscles,27.81,192,Bench Press
46,Other,59.9,167.8,21.3,Build Muscles,23.0,209,Leg Press
34,Male,47.9,163.5,17.9,Gain Weight,31.28,222,Overhead Press
16,Male,64.9,164.0,24.1,Maintain Weight,5.34,23,Swimming
34,Other,93.8,162.8,35.4,Lose Weight,9.98,67,Sprints
36,Male,51.9,180.9,15.9,Gain Weight,14.88,98,Dips
28,Female,70.1,153.3,29.8,Lose Weight,5.35,29,Speed Skaters
37,Female,61.0,155.2,25.3,Lose Weight,11.83,97,Jump Rope
43,Female,69.1,173.6,22.9,Build Muscles,24.82,224,Chest Dips
15,Other,61.6,154.6,25.8,Lose Weight,17.65,155,Speed Skaters
47,Other,107.0,173.1,35.7,Lose Weight,21.95,182,Running
43,Female,70.6,171.8,23.9,Build Muscles,18.87,164,Power Cleans
51,Female,84.9,160.3,33.0,Lose Weight,6.97,40,Sprints
21,Other,103.5,166.2,37.5,Lose Weight,8.52,49,Sprints
53,Male,69.2,183.8,20.5,Maintain Weight,14.02,87,Stretching
44,Male,58.6,177.6,18.6,Maintain Weight,16.72,110,Hiking
26,Male,68.2,161.4,26.2,Lose Weight,19.99,132,Mountain Climbers
44,Female,118.8,168.5,41.9,Lose Weight,27.56,234,Jump Rope
21,Female,86.6,164.9,31.9,Lose Weight,23.03,200,Skipping
43,Female,70.0,168.4,24.7,Maintain Weight,9.55,71,Cycling
56,Male,50.0,180.9,15.3,Gain Weight,32.95,234,Tricep Extensions
59,Female,84.4,154.1,35.6,Lose Weight,3.56,6,Running
46,Other,60.1,170.6,20.6,Build Muscles,15.5,134,Squats
49,Other,72.7,158.8,28.8,Lose Weight,13.44,109,Burpees
23,Other,46.1,167.6,16.4,Gain Weight,17.81,162,Push-ups
31,Other,117.7,159.4,46.4,Lose Weight,20.52,164,Burpees
32,Female,69.6,155.8,28.7,Lose Weight,2.54,1,Box Jumps
22,Other,56.2,165.8,20.4,Maintain Weight,11.77,98,Yoga
29,Female,65.1,154.3,27.4,Lose Weight,6.68,44,Stair Climbing
33,Female,58.7,150.4,26.0,Lose Weight,20.76,187,Box Jumps
49,Female,47.0,171.1,16.1,Gain Weight,8.25,66,Dips
21,Female,65.3,163.9,24.3,Maintain Weight,3.89,16,Planks
41,Male,83.8,184.0,24.8,Build Muscles,19.33,123,Deadlifts
17,Male,68.9,155.3,28.6,Lose Weight,4.41,15,Stair Climbing
38,Other,57.6,154.5,24.1,Build Muscles,22.92,209,Kettlebell Swings
40,Female,71.7,157.5,28.9,Lose Weight,6.11,36,Stair Climbing
21,Other,50.8,157.7,20.4,Maintain Weight,12.78,110,Hiking
23,Other,47.3,162.4,17.9,Gain Weight,1.86,2,Overhead Press
49,Female,106.8,153.3,45.4,Lose Weight,22.24,185,Rowing
44,Other,108.5,161.3,41.7,Lose Weight,10.0,62,Sprints
43,Male,57.3,187.4,16.3,Gain Weight,23.87,164,Dips
26,Male,92.7,185.8,26.8,Lose Weight,26.98,178,Stair Climbing
30,Other,83.7,161.1,32.2,Lose Weight,23.13,202,Jumping Jacks
55,Other,71.1,154.3,29.8,Lose Weight,19.99,175,Cycling
32,Male,59.6,189.1,16.7,Gain Weight,4.49,18,Push-ups
27,Male,65.6,170.5,22.6,Build Muscles,31.36,218,Chest Dips
56,Other,71.2,171.6,24.2,Build Muscles,25.59,231,Push Press
16,Other,68.2,153.1,29.1,Lose Weight,15.99,136,Jumping Jacks
56,Male,56.9,167.6,20.2,Build Muscles,33.86,239,Shoulder Press
47,Other,56.5,158.8,22.4,Build Muscles,17.38,154,Power Cleans
49,Male,72.3,179.3,22.5,Build Muscles,34.13,237,Squats
